Service ID,Service Name,Type,PMID,Priority Measure,2015,2016,2017,2018,2019,2020,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020
12908,Service 761: Development Oversight and Project Support,Efficiency,85342,% of recommendations on BMZA appeals submitted two days prior to hearing,0,0,0,0,0,0,80,80,80,80,80,85
12908,Service 761: Development Oversight and Project Support,Efficiency,85343,% of assigned building permits reviewed within two business days,0,0,0,0,0,0,90,90,85,85,85,85
12908,Service 761: Development Oversight and Project Support,Effectiveness,85344,% of subdivision reviews receiving Planning Commission review within 30 days,0,0,0,0,0,0,90,90,80,80,80,85
12908,Service 761: Development Oversight and Project Support,Efficiency,85345,Average # of site plan review committee meetings required for plan approval,0,0,0,0,0,0,1.2,1.2,1.2,1.2,1.2,1.2
12908,Service 761: Development Oversight and Project Support,Effectiveness,85346,% of Design Review permits reviewed within 10 days of referral,0,0,0,0,0,0,0,0,0,0,95,95
12910,Service 763: Comprehensive Planning and Resource Management,Output,85333,# of map/data analysis requests fulfilled ,0,0,0,0,0,0,400,400,500,550,600,650
12910,Service 763: Comprehensive Planning and Resource Management,Efficiency,85335,Average # of days for basic permit review,0,0,0,0,0,0,3,3,3,3,3,3
12910,Service 763: Comprehensive Planning and Resource Management,Outcome,85336,% of INSPIRE Primary Walking Route improvements made before school opening day,0,0,0,0,0,0,80,80,80,80,80,75
12910,Service 763: Comprehensive Planning and Resource Management,Output,85337,# of external stakeholders engaged,0,0,0,0,0,0,2500,2500,2500,6000,6000,6000
12910,Service 763: Comprehensive Planning and Resource Management,Outcome,356862,# of plans adopted/accepted by Planning Commission ,0,0,0,5,4,5,0,0,0,0,0,0
13669,Service 702: Accounts Payable,Effectiveness,92760,% of Invoices Paid in 30 days,100,100,100,100,100,70,0,0,0,0,0,0
13669,Service 702: Accounts Payable,Efficiency,92761,Cycle Time to Pay Invoice,30,30,30,30,30,30,0,0,0,0,0,0
13669,Service 702: Accounts Payable,Output,92762,# of Invoices Paid,135000,120000,120000,120000,120000,120000,0,0,0,0,0,0
13671,Service 704: Accounting,Effectiveness,92752,# of Refunds Processed,20000,20000,16000,16000,16000,15706,0,0,0,0,0,0
13671,Service 704: Accounting,Efficiency,92753,Average # of Days for Month-End Close,5,5,5,5,5,5,0,0,0,0,0,0
13671,Service 704: Accounting,Output,92754,# of Transactions/Journal Entries (in millions),2700000,2700000,2600000,2600000,2600000,2600000,0,0,0,0,0,0
13677,Service 608: Emergency Management,Outcome,92991,% of City agencies with a complete Continuity of Operations Plan (COOP),80,85,85,85,85,90,0,0,0,0,0,0
13677,Service 608: Emergency Management,Outcome,94803,% of City residents with emergency preparedness kits,77,77,77,0,0,0,0,0,0,0,0,0
13677,Service 608: Emergency Management,Effectiveness,94808,% of City Critical Infrastructure and Key Resources partners registered in the Baltimore Emergency Communications Network (BECON),95,100,100,100,100,100,0,0,0,0,0,0
13677,Service 608: Emergency Management,Efficiency,94809,% of City personnel trained for National Incident Management System level,95,95,95,95,95,95,0,0,0,0,0,0
13677,Service 608: Emergency Management,Output,94810,# of new volunteers trained in the Community Emergency Response Team (CERT) program,50,50,50,60,60,60,0,0,0,0,0,0
13678,Service 609: Emergency Medical Services,Output,92835,# of reviewed electronic patient care reports (ePCRs),10000,10000,10000,10000,35000,35000,0,0,0,0,0,0
13678,Service 609: Emergency Medical Services,Output,92836,# of EMS responses,150000,145000,155000,155000,185000,185000,0,0,0,0,0,0
13678,Service 609: Emergency Medical Services,Effectiveness,92838,% EMS responses within 9 minutes,90,90,90,90,90,90,0,0,0,0,0,0
13678,Service 609: Emergency Medical Services,Efficiency,92839,% of EMS fees collected versus total billable,0,0,0,0,69,69,0,0,0,0,0,0
13678,Service 609: Emergency Medical Services,Effectiveness,388317,% of electronic patient care reports (ePCRs) completed,0,0,0,0,100,100,0,0,0,0,0,0
13678,Service 609: Emergency Medical Services,Outcome,388318,% of patients surviving cardiac arrest,0,0,0,0,40,42,0,0,0,0,0,0
13689,Service 727: Real Property Management,Efficiency,93011,% of service requests responded to within 5 business days,100,100,100,100,100,100,0,0,0,0,0,0
13689,Service 727: Real Property Management,Outcome,93012,% of developer agreements submitted for inter-agency review within 7 business days,0,95,100,100,100,100,0,0,0,0,0,0
13689,Service 727: Real Property Management,Effectiveness,93013,% of permits entered into the permit tracking system within 7 business days,0,95,90,100,100,100,0,0,0,0,0,0
13689,Service 727: Real Property Management,Output,93014,# of permit applications entered into system and distributed for review,36000,36000,5000,5794,10000,10000,0,0,0,0,0,0
13689,Service 727: Real Property Management,Outcome,98089,# of requests for address change processed,0,0,12000,11956,11956,6000,0,0,0,0,0,0
13693,Service 303: Clinical Services,Outcome,92335,% of out-of-care persons with HIV linked to ongoing healthcare,70,70,75,75,75,75,0,0,0,0,0,0
13693,Service 303: Clinical Services,Effectiveness,92336,% of actively infected TB patients who are receiving anti-tubercular medications,100,100,100,100,100,100,0,0,0,0,0,0
13693,Service 303: Clinical Services,Output,92338,# of dental visits,2900,2900,2600,3000,3150,3150,0,0,0,0,0,0
13693,Service 303: Clinical Services,Output,92339,# of client visits for STD services,16500,16500,18200,18500,19500,19200,0,0,0,0,0,0
13693,Service 303: Clinical Services,Effectiveness,126563,% of contact investigations for eligible active TB cases initiated ,80,90,90,90,91,91,0,0,0,0,0,0
13702,Service 716: Animal Services,Outcome,92407,"% of animals adopted, transferred to rescue organization, or returned to owners",80,80,82,85,90,90,0,0,0,0,0,0
13702,Service 716: Animal Services,Outcome,92408,% of animal abuse cases forwarded to the State Attorney's Office for prosecution resulting in convictions,100,90,90,90,90,90,0,0,0,0,0,0
13702,Service 716: Animal Services,Effectiveness,92409,% of top 5 priority service requests closed on time,95,95,95,95,100,100,0,0,0,0,0,0
13702,Service 716: Animal Services,Output,92410,# of animals entering shelter,13000,10000,9500,9250,9250,9250,0,0,0,0,0,0
13704,Service 718: Chronic Disease Prevention,Output,92401,# of clients taken into the Cardiovascular Disparities Initiative program,1200,1200,400,400,1000,1000,0,0,0,0,0,0
13704,Service 718: Chronic Disease Prevention,Output,97078,# of unique Virtual Supermarket clients per fiscal year,340,400,650,650,6500,6500,0,0,0,0,0,0
13704,Service 718: Chronic Disease Prevention,Output,97079,% of tobacco outlets checked for compliance with Baltimore City laws,0,80,50,50,70,70,0,0,0,0,0,0
13704,Service 718: Chronic Disease Prevention,Effectiveness,97080,% of those screened identified as hypertensive,0,30,30,50,50,50,0,0,0,0,0,0
13704,Service 718: Chronic Disease Prevention,Outcome,126574,% of tobacco outlets checked selling tobacco to minors,0,20,50,50,40,40,0,0,0,0,0,0
13708,Service 723: Advocacy for Seniors,Effectiveness,92737,Average # of days Senior Care clients are enrolled to delay institutional placement,1095,1095,1095,912,950,1300,0,0,0,0,0,0
13708,Service 723: Advocacy for Seniors,Effectiveness,92739,"% of complaints received by the Long-Term Care Ombudsman Program responded to within the specified time frame (5 days for non-emergency complaints, 24 hours for emergency complaints)",98,98,98,95,98,98,0,0,0,0,0,0
13708,Service 723: Advocacy for Seniors,Output,92741,# of persons entering CARE services through Senior Information and Assistance Program,20509,20509,20509,21000,21000,21000,0,0,0,0,0,0
13708,Service 723: Advocacy for Seniors,Output,98458,# of individual client contacts by State Health Insurance Assistance Program (SHIP),5000,5000,5000,3000,3000,3000,0,0,0,0,0,0
13708,Service 723: Advocacy for Seniors,Output,98459,# of one-on-one counseling sessions delivered by State Health Insurance Assistance Program (SHIP),3580,3580,3580,3000,3000,3000,0,0,0,0,0,0
13709,"Service 724:  	Direct Care and Support Planning",Effectiveness,92733,% of all guardianship appointments avoided during the year that the program determines were in the best interest of the client,58,66,66,66,70,70,0,0,0,0,0,0
13709,"Service 724:  	Direct Care and Support Planning",Outcome,92738,% of nursing home applicants who were approved & transitioned back into the community via Medicaid Waiver and/or the Money Follows the Person Initiative within 6 months of application,25,25,25,25,25,25,0,0,0,0,0,0
13709,"Service 724:  	Direct Care and Support Planning",Output,92740,# of applicants applying for Money Follows the Person Initiative,165,130,130,130,130,130,0,0,0,0,0,0
13709,"Service 724:  	Direct Care and Support Planning",Output,98390,# of new guardianship appointments ,50,50,50,50,50,50,0,0,0,0,0,0
13709,"Service 724:  	Direct Care and Support Planning",Outcome,98391,# of senior assisted living group home subsidy participants that transitioned into a nursing home,0,0,0,0,0,0,0,0,0,0,0,0
13711,Service 593: Community Support Projects,Outcome,92500,"# of households that receive housing related services (housing/foreclosure prevention counseling, lead paint remediation, housing rehab, etc.)",5500,5850,6900,6000,6200,5600,0,0,0,0,0,0
13711,Service 593: Community Support Projects,Outcome,92501,"# of persons who receive socio-economic services (health, economic development, senior services, education, employment and job training, literacy etc.)",20100,21500,23500,24500,26700,25500,0,0,0,0,0,0
13711,Service 593: Community Support Projects,Effectiveness,92502,% of activities carried out by subrecipients and City agencies that met contractual goals.,96,97,97,97,97,97,0,0,0,0,0,0
13711,Service 593: Community Support Projects,Output,98398,# of times subrecipients and City agencies are monitored against contractual goals,284,265,265,275,272,250,0,0,0,0,0,0
13711,Service 593: Community Support Projects,Efficiency,398272,% of all monitoring review letters sent within 15 working days following an onsite programmatic or financial compliance review,0,0,0,0,80,80,0,0,0,0,0,0
13712,Service 604-Before and After Care,Effectiveness,92496,% of children who begin the school ready to learn,60,100,90,90,90,90,0,0,0,0,0,0
13712,Service 604-Before and After Care,Efficiency,92499,Average cost per child per year,4000,4000,4000,4000,4000,4000,0,0,0,0,0,0
13712,Service 604-Before and After Care,Efficiency,185025,Participant school attendance rate,98,100,100,100,100,100,0,0,0,0,0,0
13712,Service 604-Before and After Care,Output,398273,# of children served,0,0,0,0,0,71,0,0,0,0,0,0
13712,Service 604-Before and After Care,Outcome,398274,% of capacity filled per year,0,0,0,0,0,90,0,0,0,0,0,0
13714,Service 738: Weatherization,Output,92493,# of No Heat emergencies abated,250,250,100,50,50,13,0,0,0,0,0,0
13714,Service 738: Weatherization,Output,92494,# of homes weatherized,1000,1000,600,300,300,350,0,0,0,0,0,0
13714,Service 738: Weatherization,Efficiency,398387,Average cost per weatherization case,0,0,0,0,,0,0,0,0,0,0,0
13714,Service 738: Weatherization,Effectiveness,398388,% of weatherization cases deferred (declined) due to failing housing conditions,0,0,0,0,70,70,0,0,0,0,0,0
13714,Service 738: Weatherization,Output,398389,# of LIGHT applications processed,0,0,0,0,530,530,0,0,0,0,0,0
13714,Service 738: Weatherization,Outcome,398390,Average yearly energy savings for clients receiving weatherization services,0,0,0,0,428050,428050,0,0,0,0,0,0
13715,Service 740: Dawson Center,Output,92489,# of children served,75,75,200,200,200,200,0,0,0,0,0,0
13715,Service 740: Dawson Center,Efficiency,185210,"Average cost per year, per child",0,3630,3000,3000,3000,3000,0,0,0,0,0,0
13715,Service 740: Dawson Center,Effectiveness,185211,# of eligible children returning for service at start of school year,95,90,150,100,100,0,0,0,0,0,0,0
13715,Service 740: Dawson Center,Effectiveness,185236,# of summer programs offered to reduce summer learning loss,0,5,6,6,6,7,0,0,0,0,0,0
13720,"Service 749: Property Acquisition, Disposition, and Asset Management",Outcome,92468,% of properties sold that are under construction or have a use and occupancy permit,80,80,80,80,80,0,0,0,0,0,0,0
13720,"Service 749: Property Acquisition, Disposition, and Asset Management",Effectiveness,92469,% of dispositions completed within 120 days,90,90,90,90,90,90,0,0,0,0,0,0
13720,"Service 749: Property Acquisition, Disposition, and Asset Management",Efficiency,92470,Average # of days to complete acquisition of properties in focused project areas,365,365,365,365,365,0,0,0,0,0,0,0
13720,"Service 749: Property Acquisition, Disposition, and Asset Management",Output,398298,# of property acquisitions completed in FY,0,0,0,0,400,400,0,0,0,0,0,0
13720,"Service 749: Property Acquisition, Disposition, and Asset Management",Output,398299,# of resident relocations completed in FY,0,0,0,0,52,52,0,0,0,0,0,0
13720,"Service 749: Property Acquisition, Disposition, and Asset Management",Output,398300,# of property dispositions completed in FY,0,0,0,0,180,180,0,0,0,0,0,0
13722,Service 751: Building and Zoning Inspections and Permits,Effectiveness,92456,% of inspections scheduled for the next business day and completed that day,85,85,85,75,80,85,0,0,0,0,0,0
13722,Service 751: Building and Zoning Inspections and Permits,Efficiency,92457,% of eligible permits processed and issued entirely online,100,25,25,75,90,90,0,0,0,0,0,0
13722,Service 751: Building and Zoning Inspections and Permits,Output,92458,# of permits issued,32000,33000,33000,33000,33000,33000,0,0,0,0,0,0
13722,Service 751: Building and Zoning Inspections and Permits,Output,97586,# of inspections,70000,70000,72000,72000,72000,75000,0,0,0,0,0,0
13722,Service 751: Building and Zoning Inspections and Permits,Efficiency,97587,# of trade inspections per inspector per day,15,15,16,15,15,15,0,0,0,0,0,0
13723,Service 752: Community Outreach Services,Output,92453,# of clients receiving assistance with sheltering,240,300,400,550,400,210,0,0,0,0,0,0
13723,Service 752: Community Outreach Services,Outcome,98470,# of families housed through emergency services,220,200,225,250,250,121,0,0,0,0,0,0
13723,Service 752: Community Outreach Services,Effectiveness,98471,# of households at risk of homelessness served each year,278,200,200,200,200,200,0,0,0,0,0,0
13723,Service 752: Community Outreach Services,Output,398306,# of emergency responses per year,0,0,0,0,0,400,0,0,0,0,0,0
13732,Service 772: Civil Service Management,Effectiveness,92201,Average # of working days to fill civil service vacancies,70,80,75,60,25,31,0,0,0,0,0,0
13732,Service 772: Civil Service Management,Effectiveness,92202,% of classification and compensation project requests completed within deadline,97,95,95,95,95,95,0,0,0,0,0,0
13732,Service 772: Civil Service Management,Output,99307,# of civil service assessments,0,15,16,20,12,7,0,0,0,0,0,0
13733,Service 773: Learning and Development,Effectiveness,99309,% of MAPS covered employees trained in the new MAPS performance manangement program,0,90,90,90,90,90,0,0,0,0,0,0
13733,Service 773: Learning and Development,Efficiency,99310,Revenue realized as a % of service operating costs,0,0,0,0,0,0,110,100,100,100,100,100
13733,Service 773: Learning and Development,Output,126116,# of training participants,7500,3500,4000,4000,6000,6000,0,0,0,0,0,0
13733,Service 773: Learning and Development,Effectiveness,126117,"% of new employees attending New Employee Orientation training ""satisfied"" or ""highly satisfied"" with experience",90,80,90,90,90,90,0,0,0,0,0,0
14919,Service 899: Fair Conduct of Elections,Effectiveness,92883,# of complaints lodged by the public,40,30,30,30,20,20,0,0,0,0,0,0
14919,Service 899: Fair Conduct of Elections,Efficiency,92884,% of voters utilizing early voting,0,16,25,35,37,37,0,0,0,0,0,0
14919,Service 899: Fair Conduct of Elections,Effectiveness,92885,"# of election judges per 1,000 registered voters",0,1.14,1.15,1.15,1.15,1.15,0,0,0,0,0,0
14919,Service 899: Fair Conduct of Elections,Output,92886,% of polling places that open on-time,100,100,100,100,100,100,0,0,0,0,0,0
14919,Service 899: Fair Conduct of Elections,Outcome,92887,% Voter turnout,50,52,65,45,55,60,0,0,0,0,0,0
14923,Service 152: ERS Administration,Output,97971,# of days to process service retirement ,0,30,30,30,30,30,0,0,0,0,0,0
14923,Service 152: ERS Administration,Efficiency,97972,Average wait time  to respond to retirement inquiries ,0,30,30,30,30,30,0,0,0,0,0,0
14923,Service 152: ERS Administration,Effectiveness,97973,% of members who received benefit on their retirement date,85,85,100,100,100,100,0,0,0,0,0,0
14923,Service 152: ERS Administration,Effectiveness,97975,% of members using the Self service portal ,70,70,70,80,90,90,0,0,0,0,0,0
14923,Service 152: ERS Administration,Outcome,97976,% of members rating customer service excellent or good,0,75,90,90,90,90,0,0,0,0,0,0
14923,Service 152: ERS Administration,Outcome,409673,% Return on System's Assets,7.5,7.25,7.25,7.25,7,7,0,0,0,0,0,0
14924,Service 154: F&P Retirement System,Outcome,97928,% of return on System's assets,0,7.75,7.5,7.25,7.25,7.25,0,0,0,0,0,0
14924,Service 154: F&P Retirement System,Output,97929,# of days to provide written estimates of benefits to members upon request ,0,40,30,30,30,30,0,0,0,0,0,0
14924,Service 154: F&P Retirement System,Efficiency,97932,% of accurate and timely payments to retired members and beneficiaries,0,98,100,100,100,100,0,0,0,0,0,0
14925,Service 788: Information Services,Outcome,92878,% of Customers Rating Library Service Good to Excellent,80,80,70,70,0,0,0,0,0,0,0,0
14925,Service 788: Information Services,Effectiveness,92879,# of Visits to the Library (in millions),1750000,1700000,1700000,1734000,1846000,2000000,0,0,0,0,0,0
14925,Service 788: Information Services,Output,92881,# of Summer Learning participants,50000,50000,36600,36600,36600,37000,0,0,0,0,0,0
14925,Service 788: Information Services,Output,92882,# of School Readiness program participants,54000,47000,46600,49000,55900,50000,0,0,0,0,0,0
14925,Service 788: Information Services,Output,126581,# of Attendees of Computer Training Classes at Branch Technology Lab Centers,0,6220,6400,6500,6500,6500,0,0,0,0,0,0
14925,Service 788: Information Services,Effectiveness,336392,% of Summer Challenge Reading Program Individual Registrants Who Complete the Program,0,0,0,42,44,45,0,0,0,0,0,0
14926,Service 148: Revenue Collections,Effectiveness,92771,% of Service Requests Closed on Time,95,95,95,95,98,98,0,0,0,0,0,0
14926,Service 148: Revenue Collections,Effectiveness,92772,Call Center Average Wait Time,7,5,7,7,9,9,0,0,0,0,0,0
14926,Service 148: Revenue Collections,Effectiveness,92773,Collection % of Real Property Tax,96,96,97,97,97,97,0,0,0,0,0,0
14926,Service 148: Revenue Collections,Efficiency,92774,$ per Payment Transaction,0.86,1,0.9,0.9,0.9,0.9,0,0,0,0,0,0
14926,Service 148: Revenue Collections,Output,92775,# of Calls Requiring Assistance,300000,260000,270000,270000,300000,300000,0,0,0,0,0,0
14927,Service 150: Treasury and Debt Management,Effectiveness,92768,Interest % on GO Bonds Issued,4,4,4.25,4.25,5.5,4.25,0,0,0,0,0,0
14927,Service 150: Treasury and Debt Management,Output,92769,% Rate of Return on Short-Term (6-month) investments,0.2,0.25,0.3,0.65,1,2.1,0,0,0,0,0,0
14927,Service 150: Treasury and Debt Management,Effectiveness,92770,% of Bond Payments Made on Time,100,100,100,100,100,100,0,0,0,0,0,0
14929,Service 699: Procurement,Outcome,92763,# of Bids per Formal Solicitation,4,4,4,4,5,5,0,0,0,0,0,0
14929,Service 699: Procurement,Effectiveness,92765,% of Purchase Orders Issued Meeting Benchmark Timeframes,93,90,90,90,90,90,0,0,0,0,0,0
14929,Service 699: Procurement,Effectiveness,92766,# of Vendors Registered in CitiBuy,16000,17000,18000,18000,21000,22000,0,0,0,0,0,0
14929,Service 699: Procurement,Output,92767,# of Purchase Orders Issued,21000,22000,23000,23000,24000,25000,0,0,0,0,0,0
14929,Service 699: Procurement,Output,196467,# of Employees and City Vendors Trained,0,0,25,200,225,250,0,0,0,0,0,0
14930,Service 700: Surplus Property Disposal,Outcome,196535,$ Generated Annually,350000,400000,450000,450000,550000,700000,0,0,0,0,0,0
14930,Service 700: Surplus Property Disposal,Output,196988,# of Auctions Hosted,35,35,35,35,35,0,0,0,0,0,0,0
14931,Service 701: Printing Services,Output,196475,# of Billable Jobs,0,0,0,0,0,0,15000,10000,10000,10000,10000,10000
