"Service ID","Service Name","Type","PMID","Priority Measure","2015","2016","2017","2018","2019","2020","FY 2015","FY 2016","FY 2017","FY 2018","FY 2019","FY 2020"
"12908","Service 761: Development Oversight and Project Support","Efficiency","85342","% of recommendations on BMZA appeals submitted two days prior to hearing","0.00","0.00","0.00","0.00","0.00","0.00","80.00","80.00","80.00","80.00","80.00","85.00"
"12908","Service 761: Development Oversight and Project Support","Efficiency","85343","% of assigned building permits reviewed within two business days","0.00","0.00","0.00","0.00","0.00","0.00","90.00","90.00","85.00","85.00","85.00","85.00"
"12908","Service 761: Development Oversight and Project Support","Effectiveness","85344","% of subdivision reviews receiving Planning Commission review within 30 days","0.00","0.00","0.00","0.00","0.00","0.00","90.00","90.00","80.00","80.00","80.00","85.00"
"12908","Service 761: Development Oversight and Project Support","Efficiency","85345","Average # of site plan review committee meetings required for plan approval","0.00","0.00","0.00","0.00","0.00","0.00","1.20","1.20","1.20","1.20","1.20","1.20"
"12908","Service 761: Development Oversight and Project Support","Effectiveness","85346","% of Design Review permits reviewed within 10 days of referral","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","95.00","95.00"
"12910","Service 763: Comprehensive Planning and Resource Management","Output","85333","# of map/data analysis requests fulfilled ","0.00","0.00","0.00","0.00","0.00","0.00","400.00","400.00","500.00","550.00","600.00","650.00"
"12910","Service 763: Comprehensive Planning and Resource Management","Efficiency","85335","Average # of days for basic permit review","0.00","0.00","0.00","0.00","0.00","0.00","3.00","3.00","3.00","3.00","3.00","3.00"
"12910","Service 763: Comprehensive Planning and Resource Management","Outcome","85336","% of INSPIRE Primary Walking Route improvements made before school opening day","0.00","0.00","0.00","0.00","0.00","0.00","80.00","80.00","80.00","80.00","80.00","75.00"
"12910","Service 763: Comprehensive Planning and Resource Management","Output","85337","# of external stakeholders engaged","0.00","0.00","0.00","0.00","0.00","0.00","2,500.00","2,500.00","2,500.00","6,000.00","6,000.00","6,000.00"
"12910","Service 763: Comprehensive Planning and Resource Management","Outcome","356862","# of plans adopted/accepted by Planning Commission ","0.00","0.00","0.00","5.00","4.00","5.00","0.00","0.00","0.00","0.00","0.00","0.00"
