id,title,Service ID,HTML
14986,Service 106: Legislative Reference Services,106,"<p><em>For your reference, the Fiscal 2019 Actual, Fiscal 2020 Adopted, and Fiscal 2021 Current Level of Service (CLS) expenditure and position information have been populated below.</em></p><h4><strong>Fiscal 2019 Actual</strong></h4><table><tbody><tr><td>&nbsp;</td><td><strong>General Fund</strong></td><td><strong>Other Funds</strong></td><td><strong>Total</strong></td></tr><tr><td><strong>Expenditures</strong></td><td>655,314</td><td>0</td><td>655,314</td></tr><tr><td><strong>Funded Full Time Positions</strong></td><td>5</td><td>0</td><td>5</td></tr></tbody></table><h4><strong>Fiscal 2020 Adopted Budget</strong></h4><table><tbody><tr><td>&nbsp;</td><td><strong>General Fund</strong></td><td><strong>Other Funds</strong></td><td><strong>Total</strong></td></tr><tr><td><strong>Expenditures</strong></td><td>749,718</td><td>0</td><td>749,718</td></tr><tr><td><strong>Funded Full Time Positions</strong></td><td>5</td><td>0</td><td>5</td></tr></tbody></table><h4><strong>Fiscal 2021 Current Level of Service Budget</strong></h4><table><tbody><tr><td>&nbsp;</td><td><strong>General Fund</strong></td><td><strong>Other Funds</strong></td><td><strong>Total</strong></td></tr><tr><td><strong>Expenditures</strong></td><td>732,689</td><td>0</td><td>732,689</td></tr><tr><td><strong>Funded Full Time Positions</strong></td><td>5</td><td>0</td><td>5</td></tr></tbody></table>"
14987,Service 107: Archives and Records Management,107,"<p><em>For your reference, the Fiscal 2019 Actual, Fiscal 2020 Adopted, and Fiscal 2021 Current Level of Service (CLS) expenditure and position information have been populated below.</em></p><h4><strong>Fiscal 2019 Actual</strong></h4><table><tbody><tr><td>&nbsp;</td><td><strong>General Fund</strong></td><td><strong>Other Funds</strong></td><td><strong>Total</strong></td></tr><tr><td><strong>Expenditures</strong></td><td>451,787</td><td>0</td><td>451,787</td></tr><tr><td><strong>Funded Full Time Positions</strong></td><td>1</td><td>0</td><td>1</td></tr></tbody></table><h4><strong>Fiscal 2020 Adopted Budget</strong></h4><table><tbody><tr><td>&nbsp;</td><td><strong>General Fund</strong></td><td><strong>Other Funds</strong></td><td><strong>Total</strong></td></tr><tr><td><strong>Expenditures</strong></td><td>549,392</td><td>0</td><td>549,392</td></tr><tr><td><strong>Funded Full Time Positions</strong></td><td>1</td><td>0</td><td>1</td></tr></tbody></table><h4><strong>Fiscal 2021 Current Level of Service Budget</strong></h4><table><tbody><tr><td>&nbsp;</td><td><strong>General Fund</strong></td><td><strong>Other Funds</strong></td><td><strong>Total</strong></td></tr><tr><td><strong>Expenditures</strong></td><td>564,981</td><td>0</td><td>564,981</td></tr><tr><td><strong>Funded Full Time Positions</strong></td><td>1</td><td>0</td><td>1</td></tr></tbody></table>"
15003,Service 117: Adjudication of Environmental Citations,117,"<p><em>For your reference, the Fiscal 2019 Actual, Fiscal 2020 Adopted, and Fiscal 2021 Current Level of Service (CLS) expenditure and position information have been populated below.</em></p><h4><strong>Fiscal 2019 Actual</strong></h4><table><tbody><tr><td>&nbsp;</td><td><strong>General Fund</strong></td><td><strong>Other Funds</strong></td><td><strong>Total</strong></td></tr><tr><td><strong>Expenditures</strong></td><td>1,211,921</td><td>133,000</td><td>1,344,921</td></tr><tr><td><strong>Funded Full Time Positions</strong></td><td>9</td><td>0</td><td>9</td></tr></tbody></table><h4><strong>Fiscal 2020 Adopted Budget</strong></h4><table><tbody><tr><td>&nbsp;</td><td><strong>General Fund</strong></td><td><strong>Other Funds</strong></td><td><strong>Total</strong></td></tr><tr><td><strong>Expenditures</strong></td><td>1,488,016</td><td>250,000</td><td>1,738,016</td></tr><tr><td><strong>Funded Full Time Positions</strong></td><td>8</td><td>0</td><td>8</td></tr></tbody></table><h4><strong>Fiscal 2021 Current Level of Service Budget</strong></h4><table><tbody><tr><td>&nbsp;</td><td><strong>General Fund</strong></td><td><strong>Other Funds</strong></td><td><strong>Total</strong></td></tr><tr><td><strong>Expenditures</strong></td><td>1,537,741</td><td>255,750</td><td>1,793,491</td></tr><tr><td><strong>Funded Full Time Positions</strong></td><td>8</td><td>0</td><td>8</td></tr></tbody></table>"
15028,Service 128: Labor Contract Negotiations and Administration,128,"<p><em>For your reference, the Fiscal 2019 Actual, Fiscal 2020 Adopted, and Fiscal 2021 Current Level of Service (CLS) expenditure and position information have been populated below.</em></p><h4><strong>Fiscal 2019 Actual</strong></h4><table><tbody><tr><td>&nbsp;</td><td><strong>General Fund</strong></td><td><strong>Other Funds</strong></td><td><strong>Total</strong></td></tr><tr><td><strong>Expenditures</strong></td><td>766,230</td><td>0</td><td>766,230</td></tr><tr><td><strong>Funded Full Time Positions</strong></td><td>6</td><td>0</td><td>6</td></tr></tbody></table><h4><strong>Fiscal 2020 Adopted Budget</strong></h4><table><tbody><tr><td>&nbsp;</td><td><strong>General Fund</strong></td><td><strong>Other Funds</strong></td><td><strong>Total</strong></td></tr><tr><td><strong>Expenditures</strong></td><td>839,749</td><td>0</td><td>839,749</td></tr><tr><td><strong>Funded Full Time Positions</strong></td><td>6</td><td>0</td><td>6</td></tr></tbody></table><h4><strong>Fiscal 2021 Current Level of Service Budget</strong></h4><table><tbody><tr><td>&nbsp;</td><td><strong>General Fund</strong></td><td><strong>Other Funds</strong></td><td><strong>Total</strong></td></tr><tr><td><strong>Expenditures</strong></td><td>922,376</td><td>0</td><td>922,376</td></tr><tr><td><strong>Funded Full Time Positions</strong></td><td>6</td><td>0</td><td>6</td></tr></tbody></table>"
14926,Service 148: Revenue Collections,148,"<p><em>For your reference, the Fiscal 2019 Actual, Fiscal 2020 Adopted, and Fiscal 2021 Current Level of Service (CLS) expenditure and position information have been populated below.</em></p><h4><strong>Fiscal 2019 Actual</strong></h4><table><tbody><tr><td>&nbsp;</td><td><strong>General Fund</strong></td><td><strong>Other Funds</strong></td><td><strong>Total</strong></td></tr><tr><td><strong>Expenditures</strong></td><td>6,722,968</td><td>0</td><td>6,722,968</td></tr><tr><td><strong>Funded Full Time Positions</strong></td><td>131</td><td>0</td><td>131</td></tr></tbody></table><h4><strong>Fiscal 2020 Adopted Budget</strong></h4><table><tbody><tr><td>&nbsp;</td><td><strong>General Fund</strong></td><td><strong>Other Funds</strong></td><td><strong>Total</strong></td></tr><tr><td><strong>Expenditures</strong></td><td>6,993,881</td><td>0</td><td>6,993,881</td></tr><tr><td><strong>Funded Full Time Positions</strong></td><td>131</td><td>0</td><td>131</td></tr></tbody></table><h4><strong>Fiscal 2021 Current Level of Service Budget</strong></h4><table><tbody><tr><td>&nbsp;</td><td><strong>General Fund</strong></td><td><strong>Other Funds</strong></td><td><strong>Total</strong></td></tr><tr><td><strong>Expenditures</strong></td><td>7,321,100</td><td>0</td><td>7,321,100</td></tr><tr><td><strong>Funded Full Time Positions</strong></td><td>131</td><td>0</td><td>131</td></tr></tbody></table>"
14927,Service 150: Treasury and Debt Management,150,"<p><em>For your reference, the Fiscal 2019 Actual, Fiscal 2020 Adopted, and Fiscal 2021 Current Level of Service (CLS) expenditure and position information have been populated below.</em></p><h4><strong>Fiscal 2019 Actual</strong></h4><table><tbody><tr><td>&nbsp;</td><td><strong>General Fund</strong></td><td><strong>Other Funds</strong></td><td><strong>Total</strong></td></tr><tr><td><strong>Expenditures</strong></td><td>430,365</td><td>0</td><td>430,365</td></tr><tr><td><strong>Funded Full Time Positions</strong></td><td>9</td><td>0</td><td>9</td></tr></tbody></table><h4><strong>Fiscal 2020 Adopted Budget</strong></h4><table><tbody><tr><td>&nbsp;</td><td><strong>General Fund</strong></td><td><strong>Other Funds</strong></td><td><strong>Total</strong></td></tr><tr><td><strong>Expenditures</strong></td><td>1,174,131</td><td>0</td><td>1,174,131</td></tr><tr><td><strong>Funded Full Time Positions</strong></td><td>9</td><td>0</td><td>9</td></tr></tbody></table><h4><strong>Fiscal 2021 Current Level of Service Budget</strong></h4><table><tbody><tr><td>&nbsp;</td><td><strong>General Fund</strong></td><td><strong>Other Funds</strong></td><td><strong>Total</strong></td></tr><tr><td><strong>Expenditures</strong></td><td>1,195,443</td><td>0</td><td>1,195,443</td></tr><tr><td><strong>Funded Full Time Positions</strong></td><td>9</td><td>0</td><td>9</td></tr></tbody></table>"
14923,Service 152: ERS Administration,152,"<p><em>For your reference, the Fiscal 2019 Actual, Fiscal 2020 Adopted, and Fiscal 2021 Current Level of Service (CLS) expenditure and position information have been populated below.</em></p><h4><strong>Fiscal 2019 Actual</strong></h4><table><tbody><tr><td>&nbsp;</td><td><strong>General Fund</strong></td><td><strong>Other Funds</strong></td><td><strong>Total</strong></td></tr><tr><td><strong>Expenditures</strong></td><td>0</td><td>6,484</td><td>6,484</td></tr><tr><td><strong>Funded Full Time Positions</strong></td><td>0</td><td>40</td><td>40</td></tr></tbody></table><h4><strong>Fiscal 2020 Adopted Budget</strong></h4><table><tbody><tr><td>&nbsp;</td><td><strong>General Fund</strong></td><td><strong>Other Funds</strong></td><td><strong>Total</strong></td></tr><tr><td><strong>Expenditures</strong></td><td>0</td><td>5,343,379</td><td>5,343,379</td></tr><tr><td><strong>Funded Full Time Positions</strong></td><td>0</td><td>41</td><td>41</td></tr></tbody></table><h4><strong>Fiscal 2021 Current Level of Service Budget</strong></h4><table><tbody><tr><td>&nbsp;</td><td><strong>General Fund</strong></td><td><strong>Other Funds</strong></td><td><strong>Total</strong></td></tr><tr><td><strong>Expenditures</strong></td><td>0</td><td>5,583,675</td><td>5,583,675</td></tr><tr><td><strong>Funded Full Time Positions</strong></td><td>0</td><td>41</td><td>41</td></tr></tbody></table>"
14924,Service 154: F&P Retirement System,154,"<p><em>For your reference, the Fiscal 2019 Actual, Fiscal 2020 Adopted, and Fiscal 2021 Current Level of Service (CLS) expenditure and position information have been populated below.</em></p><h4><strong>Fiscal 2019 Actual</strong></h4><table><tbody><tr><td>&nbsp;</td><td><strong>General Fund</strong></td><td><strong>Other Funds</strong></td><td><strong>Total</strong></td></tr><tr><td><strong>Expenditures</strong></td><td>0</td><td>465,273</td><td>465,273</td></tr><tr><td><strong>Funded Full Time Positions</strong></td><td>0</td><td>34</td><td>34</td></tr></tbody></table><h4><strong>Fiscal 2020 Adopted Budget</strong></h4><table><tbody><tr><td>&nbsp;</td><td><strong>General Fund</strong></td><td><strong>Other Funds</strong></td><td><strong>Total</strong></td></tr><tr><td><strong>Expenditures</strong></td><td>0</td><td>5,489,267</td><td>5,489,267</td></tr><tr><td><strong>Funded Full Time Positions</strong></td><td>0</td><td>35</td><td>35</td></tr></tbody></table><h4><strong>Fiscal 2021 Current Level of Service Budget</strong></h4><table><tbody><tr><td>&nbsp;</td><td><strong>General Fund</strong></td><td><strong>Other Funds</strong></td><td><strong>Total</strong></td></tr><tr><td><strong>Expenditures</strong></td><td>0</td><td>5,749,263</td><td>5,749,263</td></tr><tr><td><strong>Funded Full Time Positions</strong></td><td>0</td><td>35</td><td>35</td></tr></tbody></table>"
24352,Service 155: Retirement Savings Plan,155,"<p><em>For your reference, the Fiscal 2019 Actual, Fiscal 2020 Adopted, and Fiscal 2021 Current Level of Service (CLS) expenditure and position information have been populated below.</em></p><h4><strong>Fiscal 2019 Actual</strong></h4><table><tbody><tr><td>&nbsp;</td><td><strong>General Fund</strong></td><td><strong>Other Funds</strong></td><td><strong>Total</strong></td></tr><tr><td><strong>Expenditures</strong></td><td>0</td><td>689,072</td><td>689,072</td></tr><tr><td><strong>Funded Full Time Positions</strong></td><td>0</td><td>3</td><td>3</td></tr></tbody></table><h4><strong>Fiscal 2020 Adopted Budget</strong></h4><table><tbody><tr><td>&nbsp;</td><td><strong>General Fund</strong></td><td><strong>Other Funds</strong></td><td><strong>Total</strong></td></tr><tr><td><strong>Expenditures</strong></td><td>0</td><td>878,657</td><td>878,657</td></tr><tr><td><strong>Funded Full Time Positions</strong></td><td>0</td><td>3</td><td>3</td></tr></tbody></table><h4><strong>Fiscal 2021 Current Level of Service Budget</strong></h4><table><tbody><tr><td>&nbsp;</td><td><strong>General Fund</strong></td><td><strong>Other Funds</strong></td><td><strong>Total</strong></td></tr><tr><td><strong>Expenditures</strong></td><td>0</td><td>891,446</td><td>891,446</td></tr><tr><td><strong>Funded Full Time Positions</strong></td><td>0</td><td>3</td><td>3</td></tr></tbody></table>"
15029,Service 185: Board of Municipal and Zoning Appeals,185,"<p><em>For your reference, the Fiscal 2019 Actual, Fiscal 2020 Adopted, and Fiscal 2021 Current Level of Service (CLS) expenditure and position information have been populated below.</em></p><h4><strong>Fiscal 2019 Actual</strong></h4><table><tbody><tr><td>&nbsp;</td><td><strong>General Fund</strong></td><td><strong>Other Funds</strong></td><td><strong>Total</strong></td></tr><tr><td><strong>Expenditures</strong></td><td>582,548</td><td>0</td><td>582,548</td></tr><tr><td><strong>Funded Full Time Positions</strong></td><td>10</td><td>0</td><td>10</td></tr></tbody></table><h4><strong>Fiscal 2020 Adopted Budget</strong></h4><table><tbody><tr><td>&nbsp;</td><td><strong>General Fund</strong></td><td><strong>Other Funds</strong></td><td><strong>Total</strong></td></tr><tr><td><strong>Expenditures</strong></td><td>656,762</td><td>0</td><td>656,762</td></tr><tr><td><strong>Funded Full Time Positions</strong></td><td>10</td><td>0</td><td>10</td></tr></tbody></table><h4><strong>Fiscal 2021 Current Level of Service Budget</strong></h4><table><tbody><tr><td>&nbsp;</td><td><strong>General Fund</strong></td><td><strong>Other Funds</strong></td><td><strong>Total</strong></td></tr><tr><td><strong>Expenditures</strong></td><td>689,376</td><td>0</td><td>689,376</td></tr><tr><td><strong>Funded Full Time Positions</strong></td><td>12</td><td>0</td><td>12</td></tr></tbody></table>"
