Service ID,id,title,HTML
100,9989789,Service 100: City Council,"<p><em>For your reference, the Fiscal 2021 Actual, Fiscal 2022 Adopted, and Fiscal 2023 Current Level of Service (CLS) expenditure and position information
      have been populated below.</em></p><h4><strong>Fiscal 2021 Actual</strong></h4>
      
      <table><tbody>
        <tr style='text-align:right'>
          <td>&nbsp;</td>
          <td><strong>General Fund</strong></td>
          <td><strong>Other Funds</strong></td>
          <td><strong>Total</strong></td>
        </tr>
        <tr>
          <td><strong>Expenditures</strong></td>
          <td style='text-align:right'>7,398,915</td>
          <td style='text-align:right'>0</td>
          <td style='text-align:right'>7,398,915</td>
        </tr>
        <tr>
          <td><strong>Funded Full Time Positions</strong></td>
          <td style='text-align:right'>81</td>
          <td style='text-align:right'>0</td>
          <td style='text-align:right'>81</td>
        </tr>
      </tbody></table>
      
      <h4><strong>Fiscal 2022 Adopted Budget</strong></h4>
      
      <table><tbody>
        <tr style='text-align:right'>
          <td>&nbsp;</td>
          <td><strong>General Fund</strong></td>
          <td><strong>Other Funds</strong></td>
          <td><strong>Total</strong></td>
        </tr>
        <tr>
          <td><strong>Expenditures</strong></td>
          <td style='text-align:right'>8,593,872</td>
          <td style='text-align:right'>0</td>
          <td style='text-align:right'>8,593,872</td>
        </tr>
        <tr>
          <td><strong>Funded Full Time Positions</strong></td>
          <td style='text-align:right'>81</td>
          <td style='text-align:right'>0</td>
          <td style='text-align:right'>81</td>
        </tr>
      </tbody></table>
      
      <h4><strong>Fiscal 2023 Current Level of Service Budget</strong></h4>
      
      <table><tbody>
        <tr style='text-align:right'>
          <td>&nbsp;</td>
          <td><strong>General Fund</strong></td>
          <td><strong>Other Funds</strong></td>
          <td><strong>Total</strong></td>
        </tr>
        <tr>
          <td><strong>Expenditures</strong></td>
          <td style='text-align:right'>9,012,041</td>
          <td style='text-align:right'>0</td>
          <td style='text-align:right'>9,012,041</td>
        </tr>
        <tr>
          <td><strong>Funded Full Time Positions</strong></td>
          <td style='text-align:right'>77</td>
          <td style='text-align:right'>0</td>
          <td style='text-align:right'>77</td>
      </tr></tbody></table>"
103,9989805,Service 103: Council Services,"<p><em>For your reference, the Fiscal 2021 Actual, Fiscal 2022 Adopted, and Fiscal 2023 Current Level of Service (CLS) expenditure and position information
      have been populated below.</em></p><h4><strong>Fiscal 2021 Actual</strong></h4>
      
      <table><tbody>
        <tr style='text-align:right'>
          <td>&nbsp;</td>
          <td><strong>General Fund</strong></td>
          <td><strong>Other Funds</strong></td>
          <td><strong>Total</strong></td>
        </tr>
        <tr>
          <td><strong>Expenditures</strong></td>
          <td style='text-align:right'>750,590</td>
          <td style='text-align:right'>0</td>
          <td style='text-align:right'>750,590</td>
        </tr>
        <tr>
          <td><strong>Funded Full Time Positions</strong></td>
          <td style='text-align:right'>6</td>
          <td style='text-align:right'>0</td>
          <td style='text-align:right'>6</td>
        </tr>
      </tbody></table>
      
      <h4><strong>Fiscal 2022 Adopted Budget</strong></h4>
      
      <table><tbody>
        <tr style='text-align:right'>
          <td>&nbsp;</td>
          <td><strong>General Fund</strong></td>
          <td><strong>Other Funds</strong></td>
          <td><strong>Total</strong></td>
        </tr>
        <tr>
          <td><strong>Expenditures</strong></td>
          <td style='text-align:right'>798,867</td>
          <td style='text-align:right'>0</td>
          <td style='text-align:right'>798,867</td>
        </tr>
        <tr>
          <td><strong>Funded Full Time Positions</strong></td>
          <td style='text-align:right'>6</td>
          <td style='text-align:right'>0</td>
          <td style='text-align:right'>6</td>
        </tr>
      </tbody></table>
      
      <h4><strong>Fiscal 2023 Current Level of Service Budget</strong></h4>
      
      <table><tbody>
        <tr style='text-align:right'>
          <td>&nbsp;</td>
          <td><strong>General Fund</strong></td>
          <td><strong>Other Funds</strong></td>
          <td><strong>Total</strong></td>
        </tr>
        <tr>
          <td><strong>Expenditures</strong></td>
          <td style='text-align:right'>831,123</td>
          <td style='text-align:right'>0</td>
          <td style='text-align:right'>831,123</td>
        </tr>
        <tr>
          <td><strong>Funded Full Time Positions</strong></td>
          <td style='text-align:right'>6</td>
          <td style='text-align:right'>0</td>
          <td style='text-align:right'>6</td>
      </tr></tbody></table>"
106,14986,Service 106: Legislative Reference Services,"<p><em>For your reference, the Fiscal 2021 Actual, Fiscal 2022 Adopted, and Fiscal 2023 Current Level of Service (CLS) expenditure and position information
      have been populated below.</em></p><h4><strong>Fiscal 2021 Actual</strong></h4>
      
      <table><tbody>
        <tr style='text-align:right'>
          <td>&nbsp;</td>
          <td><strong>General Fund</strong></td>
          <td><strong>Other Funds</strong></td>
          <td><strong>Total</strong></td>
        </tr>
        <tr>
          <td><strong>Expenditures</strong></td>
          <td style='text-align:right'>760,911</td>
          <td style='text-align:right'>0</td>
          <td style='text-align:right'>760,911</td>
        </tr>
        <tr>
          <td><strong>Funded Full Time Positions</strong></td>
          <td style='text-align:right'>5</td>
          <td style='text-align:right'>0</td>
          <td style='text-align:right'>5</td>
        </tr>
      </tbody></table>
      
      <h4><strong>Fiscal 2022 Adopted Budget</strong></h4>
      
      <table><tbody>
        <tr style='text-align:right'>
          <td>&nbsp;</td>
          <td><strong>General Fund</strong></td>
          <td><strong>Other Funds</strong></td>
          <td><strong>Total</strong></td>
        </tr>
        <tr>
          <td><strong>Expenditures</strong></td>
          <td style='text-align:right'>812,997</td>
          <td style='text-align:right'>0</td>
          <td style='text-align:right'>812,997</td>
        </tr>
        <tr>
          <td><strong>Funded Full Time Positions</strong></td>
          <td style='text-align:right'>5</td>
          <td style='text-align:right'>0</td>
          <td style='text-align:right'>5</td>
        </tr>
      </tbody></table>
      
      <h4><strong>Fiscal 2023 Current Level of Service Budget</strong></h4>
      
      <table><tbody>
        <tr style='text-align:right'>
          <td>&nbsp;</td>
          <td><strong>General Fund</strong></td>
          <td><strong>Other Funds</strong></td>
          <td><strong>Total</strong></td>
        </tr>
        <tr>
          <td><strong>Expenditures</strong></td>
          <td style='text-align:right'>840,536</td>
          <td style='text-align:right'>0</td>
          <td style='text-align:right'>840,536</td>
        </tr>
        <tr>
          <td><strong>Funded Full Time Positions</strong></td>
          <td style='text-align:right'>5</td>
          <td style='text-align:right'>0</td>
          <td style='text-align:right'>5</td>
      </tr></tbody></table>"
107,14987,Service 107: Archives and Records Management,"<p><em>For your reference, the Fiscal 2021 Actual, Fiscal 2022 Adopted, and Fiscal 2023 Current Level of Service (CLS) expenditure and position information
      have been populated below.</em></p><h4><strong>Fiscal 2021 Actual</strong></h4>
      
      <table><tbody>
        <tr style='text-align:right'>
          <td>&nbsp;</td>
          <td><strong>General Fund</strong></td>
          <td><strong>Other Funds</strong></td>
          <td><strong>Total</strong></td>
        </tr>
        <tr>
          <td><strong>Expenditures</strong></td>
          <td style='text-align:right'>471,383</td>
          <td style='text-align:right'>0</td>
          <td style='text-align:right'>471,383</td>
        </tr>
        <tr>
          <td><strong>Funded Full Time Positions</strong></td>
          <td style='text-align:right'>1</td>
          <td style='text-align:right'>0</td>
          <td style='text-align:right'>1</td>
        </tr>
      </tbody></table>
      
      <h4><strong>Fiscal 2022 Adopted Budget</strong></h4>
      
      <table><tbody>
        <tr style='text-align:right'>
          <td>&nbsp;</td>
          <td><strong>General Fund</strong></td>
          <td><strong>Other Funds</strong></td>
          <td><strong>Total</strong></td>
        </tr>
        <tr>
          <td><strong>Expenditures</strong></td>
          <td style='text-align:right'>576,493</td>
          <td style='text-align:right'>0</td>
          <td style='text-align:right'>576,493</td>
        </tr>
        <tr>
          <td><strong>Funded Full Time Positions</strong></td>
          <td style='text-align:right'>1</td>
          <td style='text-align:right'>0</td>
          <td style='text-align:right'>1</td>
        </tr>
      </tbody></table>
      
      <h4><strong>Fiscal 2023 Current Level of Service Budget</strong></h4>
      
      <table><tbody>
        <tr style='text-align:right'>
          <td>&nbsp;</td>
          <td><strong>General Fund</strong></td>
          <td><strong>Other Funds</strong></td>
          <td><strong>Total</strong></td>
        </tr>
        <tr>
          <td><strong>Expenditures</strong></td>
          <td style='text-align:right'>598,574</td>
          <td style='text-align:right'>0</td>
          <td style='text-align:right'>598,574</td>
        </tr>
        <tr>
          <td><strong>Funded Full Time Positions</strong></td>
          <td style='text-align:right'>1</td>
          <td style='text-align:right'>0</td>
          <td style='text-align:right'>1</td>
      </tr></tbody></table>"
109,120665,Service 109: Administration-MOCFS,"<p><em>For your reference, the Fiscal 2021 Actual, Fiscal 2022 Adopted, and Fiscal 2023 Current Level of Service (CLS) expenditure and position information
      have been populated below.</em></p><h4><strong>Fiscal 2021 Actual</strong></h4>
      
      <table><tbody>
        <tr style='text-align:right'>
          <td>&nbsp;</td>
          <td><strong>General Fund</strong></td>
          <td><strong>Other Funds</strong></td>
          <td><strong>Total</strong></td>
        </tr>
        <tr>
          <td><strong>Expenditures</strong></td>
          <td style='text-align:right'>2,100,046</td>
          <td style='text-align:right'>61,252</td>
          <td style='text-align:right'>2,161,298</td>
        </tr>
        <tr>
          <td><strong>Funded Full Time Positions</strong></td>
          <td style='text-align:right'>13</td>
          <td style='text-align:right'>0</td>
          <td style='text-align:right'>13</td>
        </tr>
      </tbody></table>
      
      <h4><strong>Fiscal 2022 Adopted Budget</strong></h4>
      
      <table><tbody>
        <tr style='text-align:right'>
          <td>&nbsp;</td>
          <td><strong>General Fund</strong></td>
          <td><strong>Other Funds</strong></td>
          <td><strong>Total</strong></td>
        </tr>
        <tr>
          <td><strong>Expenditures</strong></td>
          <td style='text-align:right'>3,006,132</td>
          <td style='text-align:right'>78,000</td>
          <td style='text-align:right'>3,084,132</td>
        </tr>
        <tr>
          <td><strong>Funded Full Time Positions</strong></td>
          <td style='text-align:right'>15</td>
          <td style='text-align:right'>0</td>
          <td style='text-align:right'>15</td>
        </tr>
      </tbody></table>
      
      <h4><strong>Fiscal 2023 Current Level of Service Budget</strong></h4>
      
      <table><tbody>
        <tr style='text-align:right'>
          <td>&nbsp;</td>
          <td><strong>General Fund</strong></td>
          <td><strong>Other Funds</strong></td>
          <td><strong>Total</strong></td>
        </tr>
        <tr>
          <td><strong>Expenditures</strong></td>
          <td style='text-align:right'>3,189,143</td>
          <td style='text-align:right'>77,943</td>
          <td style='text-align:right'>3,267,086</td>
        </tr>
        <tr>
          <td><strong>Funded Full Time Positions</strong></td>
          <td style='text-align:right'>15</td>
          <td style='text-align:right'>0</td>
          <td style='text-align:right'>15</td>
      </tr></tbody></table>"
110,9989806,Service 110: Circuit Court,"<p><em>For your reference, the Fiscal 2021 Actual, Fiscal 2022 Adopted, and Fiscal 2023 Current Level of Service (CLS) expenditure and position information
      have been populated below.</em></p><h4><strong>Fiscal 2021 Actual</strong></h4>
      
      <table><tbody>
        <tr style='text-align:right'>
          <td>&nbsp;</td>
          <td><strong>General Fund</strong></td>
          <td><strong>Other Funds</strong></td>
          <td><strong>Total</strong></td>
        </tr>
        <tr>
          <td><strong>Expenditures</strong></td>
          <td style='text-align:right'>16,533,272</td>
          <td style='text-align:right'>4,149,063</td>
          <td style='text-align:right'>20,682,335</td>
        </tr>
        <tr>
          <td><strong>Funded Full Time Positions</strong></td>
          <td style='text-align:right'>86</td>
          <td style='text-align:right'>46</td>
          <td style='text-align:right'>132</td>
        </tr>
      </tbody></table>
      
      <h4><strong>Fiscal 2022 Adopted Budget</strong></h4>
      
      <table><tbody>
        <tr style='text-align:right'>
          <td>&nbsp;</td>
          <td><strong>General Fund</strong></td>
          <td><strong>Other Funds</strong></td>
          <td><strong>Total</strong></td>
        </tr>
        <tr>
          <td><strong>Expenditures</strong></td>
          <td style='text-align:right'>17,667,259</td>
          <td style='text-align:right'>8,950,554</td>
          <td style='text-align:right'>26,617,813</td>
        </tr>
        <tr>
          <td><strong>Funded Full Time Positions</strong></td>
          <td style='text-align:right'>86</td>
          <td style='text-align:right'>46</td>
          <td style='text-align:right'>132</td>
        </tr>
      </tbody></table>
      
      <h4><strong>Fiscal 2023 Current Level of Service Budget</strong></h4>
      
      <table><tbody>
        <tr style='text-align:right'>
          <td>&nbsp;</td>
          <td><strong>General Fund</strong></td>
          <td><strong>Other Funds</strong></td>
          <td><strong>Total</strong></td>
        </tr>
        <tr>
          <td><strong>Expenditures</strong></td>
          <td style='text-align:right'>18,288,874</td>
          <td style='text-align:right'>9,103,451</td>
          <td style='text-align:right'>27,392,325</td>
        </tr>
        <tr>
          <td><strong>Funded Full Time Positions</strong></td>
          <td style='text-align:right'>86</td>
          <td style='text-align:right'>46</td>
          <td style='text-align:right'>132</td>
      </tr></tbody></table>"
115,9989815,Service 115: Prosecution of Criminals,"<p><em>For your reference, the Fiscal 2021 Actual, Fiscal 2022 Adopted, and Fiscal 2023 Current Level of Service (CLS) expenditure and position information
      have been populated below.</em></p><h4><strong>Fiscal 2021 Actual</strong></h4>
      
      <table><tbody>
        <tr style='text-align:right'>
          <td>&nbsp;</td>
          <td><strong>General Fund</strong></td>
          <td><strong>Other Funds</strong></td>
          <td><strong>Total</strong></td>
        </tr>
        <tr>
          <td><strong>Expenditures</strong></td>
          <td style='text-align:right'>25,729,199</td>
          <td style='text-align:right'>3,451,782</td>
          <td style='text-align:right'>29,180,981</td>
        </tr>
        <tr>
          <td><strong>Funded Full Time Positions</strong></td>
          <td style='text-align:right'>264</td>
          <td style='text-align:right'>56</td>
          <td style='text-align:right'>320</td>
        </tr>
      </tbody></table>
      
      <h4><strong>Fiscal 2022 Adopted Budget</strong></h4>
      
      <table><tbody>
        <tr style='text-align:right'>
          <td>&nbsp;</td>
          <td><strong>General Fund</strong></td>
          <td><strong>Other Funds</strong></td>
          <td><strong>Total</strong></td>
        </tr>
        <tr>
          <td><strong>Expenditures</strong></td>
          <td style='text-align:right'>28,386,555</td>
          <td style='text-align:right'>9,269,419</td>
          <td style='text-align:right'>37,655,974</td>
        </tr>
        <tr>
          <td><strong>Funded Full Time Positions</strong></td>
          <td style='text-align:right'>264</td>
          <td style='text-align:right'>56</td>
          <td style='text-align:right'>320</td>
        </tr>
      </tbody></table>
      
      <h4><strong>Fiscal 2023 Current Level of Service Budget</strong></h4>
      
      <table><tbody>
        <tr style='text-align:right'>
          <td>&nbsp;</td>
          <td><strong>General Fund</strong></td>
          <td><strong>Other Funds</strong></td>
          <td><strong>Total</strong></td>
        </tr>
        <tr>
          <td><strong>Expenditures</strong></td>
          <td style='text-align:right'>29,887,454</td>
          <td style='text-align:right'>9,613,136</td>
          <td style='text-align:right'>39,500,590</td>
        </tr>
        <tr>
          <td><strong>Funded Full Time Positions</strong></td>
          <td style='text-align:right'>264</td>
          <td style='text-align:right'>56</td>
          <td style='text-align:right'>320</td>
      </tr></tbody></table>"
117,15003,Service 117: Adjudication of Environmental Citations,"<p><em>For your reference, the Fiscal 2021 Actual, Fiscal 2022 Adopted, and Fiscal 2023 Current Level of Service (CLS) expenditure and position information
      have been populated below.</em></p><h4><strong>Fiscal 2021 Actual</strong></h4>
      
      <table><tbody>
        <tr style='text-align:right'>
          <td>&nbsp;</td>
          <td><strong>General Fund</strong></td>
          <td><strong>Other Funds</strong></td>
          <td><strong>Total</strong></td>
        </tr>
        <tr>
          <td><strong>Expenditures</strong></td>
          <td style='text-align:right'>1,147,982</td>
          <td style='text-align:right'>-15</td>
          <td style='text-align:right'>1,147,967</td>
        </tr>
        <tr>
          <td><strong>Funded Full Time Positions</strong></td>
          <td style='text-align:right'>8</td>
          <td style='text-align:right'>0</td>
          <td style='text-align:right'>8</td>
        </tr>
      </tbody></table>
      
      <h4><strong>Fiscal 2022 Adopted Budget</strong></h4>
      
      <table><tbody>
        <tr style='text-align:right'>
          <td>&nbsp;</td>
          <td><strong>General Fund</strong></td>
          <td><strong>Other Funds</strong></td>
          <td><strong>Total</strong></td>
        </tr>
        <tr>
          <td><strong>Expenditures</strong></td>
          <td style='text-align:right'>1,556,600</td>
          <td style='text-align:right'>255,750</td>
          <td style='text-align:right'>1,812,350</td>
        </tr>
        <tr>
          <td><strong>Funded Full Time Positions</strong></td>
          <td style='text-align:right'>8</td>
          <td style='text-align:right'>0</td>
          <td style='text-align:right'>8</td>
        </tr>
      </tbody></table>
      
      <h4><strong>Fiscal 2023 Current Level of Service Budget</strong></h4>
      
      <table><tbody>
        <tr style='text-align:right'>
          <td>&nbsp;</td>
          <td><strong>General Fund</strong></td>
          <td><strong>Other Funds</strong></td>
          <td><strong>Total</strong></td>
        </tr>
        <tr>
          <td><strong>Expenditures</strong></td>
          <td style='text-align:right'>1,586,133</td>
          <td style='text-align:right'>255,563</td>
          <td style='text-align:right'>1,841,696</td>
        </tr>
        <tr>
          <td><strong>Funded Full Time Positions</strong></td>
          <td style='text-align:right'>8</td>
          <td style='text-align:right'>0</td>
          <td style='text-align:right'>8</td>
      </tr></tbody></table>"
125,9989808,Service 125: Mayoralty,"<p><em>For your reference, the Fiscal 2021 Actual, Fiscal 2022 Adopted, and Fiscal 2023 Current Level of Service (CLS) expenditure and position information
      have been populated below.</em></p><h4><strong>Fiscal 2021 Actual</strong></h4>
      
      <table><tbody>
        <tr style='text-align:right'>
          <td>&nbsp;</td>
          <td><strong>General Fund</strong></td>
          <td><strong>Other Funds</strong></td>
          <td><strong>Total</strong></td>
        </tr>
        <tr>
          <td><strong>Expenditures</strong></td>
          <td style='text-align:right'>10,487,540</td>
          <td style='text-align:right'>871,141</td>
          <td style='text-align:right'>11,358,681</td>
        </tr>
        <tr>
          <td><strong>Funded Full Time Positions</strong></td>
          <td style='text-align:right'>74</td>
          <td style='text-align:right'>2</td>
          <td style='text-align:right'>76</td>
        </tr>
      </tbody></table>
      
      <h4><strong>Fiscal 2022 Adopted Budget</strong></h4>
      
      <table><tbody>
        <tr style='text-align:right'>
          <td>&nbsp;</td>
          <td><strong>General Fund</strong></td>
          <td><strong>Other Funds</strong></td>
          <td><strong>Total</strong></td>
        </tr>
        <tr>
          <td><strong>Expenditures</strong></td>
          <td style='text-align:right'>11,552,945</td>
          <td style='text-align:right'>1,617,356</td>
          <td style='text-align:right'>13,170,301</td>
        </tr>
        <tr>
          <td><strong>Funded Full Time Positions</strong></td>
          <td style='text-align:right'>76</td>
          <td style='text-align:right'>1</td>
          <td style='text-align:right'>77</td>
        </tr>
      </tbody></table>
      
      <h4><strong>Fiscal 2023 Current Level of Service Budget</strong></h4>
      
      <table><tbody>
        <tr style='text-align:right'>
          <td>&nbsp;</td>
          <td><strong>General Fund</strong></td>
          <td><strong>Other Funds</strong></td>
          <td><strong>Total</strong></td>
        </tr>
        <tr>
          <td><strong>Expenditures</strong></td>
          <td style='text-align:right'>12,315,033</td>
          <td style='text-align:right'>1,657,358</td>
          <td style='text-align:right'>13,972,391</td>
        </tr>
        <tr>
          <td><strong>Funded Full Time Positions</strong></td>
          <td style='text-align:right'>76</td>
          <td style='text-align:right'>1</td>
          <td style='text-align:right'>77</td>
      </tr></tbody></table>"
128,15028,Service 128: Labor Contract Negotiations and Administration,"<p><em>For your reference, the Fiscal 2021 Actual, Fiscal 2022 Adopted, and Fiscal 2023 Current Level of Service (CLS) expenditure and position information
      have been populated below.</em></p><h4><strong>Fiscal 2021 Actual</strong></h4>
      
      <table><tbody>
        <tr style='text-align:right'>
          <td>&nbsp;</td>
          <td><strong>General Fund</strong></td>
          <td><strong>Other Funds</strong></td>
          <td><strong>Total</strong></td>
        </tr>
        <tr>
          <td><strong>Expenditures</strong></td>
          <td style='text-align:right'>936,279</td>
          <td style='text-align:right'>0</td>
          <td style='text-align:right'>936,279</td>
        </tr>
        <tr>
          <td><strong>Funded Full Time Positions</strong></td>
          <td style='text-align:right'>6</td>
          <td style='text-align:right'>0</td>
          <td style='text-align:right'>6</td>
        </tr>
      </tbody></table>
      
      <h4><strong>Fiscal 2022 Adopted Budget</strong></h4>
      
      <table><tbody>
        <tr style='text-align:right'>
          <td>&nbsp;</td>
          <td><strong>General Fund</strong></td>
          <td><strong>Other Funds</strong></td>
          <td><strong>Total</strong></td>
        </tr>
        <tr>
          <td><strong>Expenditures</strong></td>
          <td style='text-align:right'>957,075</td>
          <td style='text-align:right'>0</td>
          <td style='text-align:right'>957,075</td>
        </tr>
        <tr>
          <td><strong>Funded Full Time Positions</strong></td>
          <td style='text-align:right'>6</td>
          <td style='text-align:right'>0</td>
          <td style='text-align:right'>6</td>
        </tr>
      </tbody></table>
      
      <h4><strong>Fiscal 2023 Current Level of Service Budget</strong></h4>
      
      <table><tbody>
        <tr style='text-align:right'>
          <td>&nbsp;</td>
          <td><strong>General Fund</strong></td>
          <td><strong>Other Funds</strong></td>
          <td><strong>Total</strong></td>
        </tr>
        <tr>
          <td><strong>Expenditures</strong></td>
          <td style='text-align:right'>1,011,675</td>
          <td style='text-align:right'>0</td>
          <td style='text-align:right'>1,011,675</td>
        </tr>
        <tr>
          <td><strong>Funded Full Time Positions</strong></td>
          <td style='text-align:right'>6</td>
          <td style='text-align:right'>0</td>
          <td style='text-align:right'>6</td>
      </tr></tbody></table>"
